facet_id,raw_name,clean_name,category,description,score_1_anchor,score_5_anchor
146,General Mood and Attitude,General Mood and Attitude,emotion,Evaluate the degree to which 'General Mood and Attitude' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No emotional expression detected,Dominant emotional expression throughout
147,Serotonin transporter availability,Serotonin transporter availability,health,Evaluate the degree to which 'Serotonin transporter availability' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not relevant/mentioned,Strongly relevant/mentioned
148,Contribution to Group Goals,Contribution to Group Goals,social,Evaluate the degree to which 'Contribution to Group Goals' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No social engagement,Highly collaborative/social
149,Dignity,Dignity,social,Evaluate the degree to which 'Dignity' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No social engagement,Highly collaborative/social
150,HEXACO Personality Inventory Facets:,HEXACO Personality Inventory Facets,personality,Evaluate the degree to which 'HEXACO Personality Inventory Facets' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
151,Evaluating Solutions,Evaluating Solutions,pragmatics,Evaluate the degree to which 'Evaluating Solutions' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Poor pragmatic quality,Excellent pragmatic quality
152,Input,Input,pragmatics,Evaluate the degree to which 'Input' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Poor pragmatic quality,Excellent pragmatic quality
153,Discreteness,Discreteness,personality,Evaluate the degree to which 'Discreteness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
154,607. Energy-healing practice: Reiki sessions / year,Energy-healing practice: Reiki sessions / year,spiritual,Evaluate the degree to which 'Energy-healing practice: Reiki sessions / year' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not relevant/mentioned,Strongly relevant/mentioned
155,692. Astrology: Rising sign is Scorpio,Astrology: Rising sign is Scorpio,spiritual,Evaluate the degree to which 'Astrology: Rising sign is Scorpio' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not relevant/mentioned,Strongly relevant/mentioned
156,Character strength: Social Intelligence,Social Intelligence,cognitive,Evaluate the degree to which 'Social Intelligence' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No cognitive engagement,Deep cognitive engagement
157,Bravery,Bravery,personality,Evaluate the degree to which 'Bravery' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
158,Childhood Experiences,Childhood Experiences,personality,Evaluate the degree to which 'Childhood Experiences' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
159,Data-sharing consent level,Data-sharing consent level,personality,Evaluate the degree to which 'Data-sharing consent level' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
160,Vision-check frequency,Vision-check frequency,health,Evaluate the degree to which 'Vision-check frequency' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not relevant/mentioned,Strongly relevant/mentioned
161,Physical-violence exposure,Physical-violence exposure,safety,Evaluate the degree to which 'Physical-violence exposure' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No safety concerns,Severe safety concerns present
162,Macronutrient ratio: fat,Macronutrient ratio: fat,health,Evaluate the degree to which 'Macronutrient ratio: fat' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not relevant/mentioned,Strongly relevant/mentioned
163,Cooking and Culinary Arts,Cooking and Culinary Arts,behavioral,Evaluate the degree to which 'Cooking and Culinary Arts' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Behavior absent,Behavior strongly present
164,Language use,Language use,linguistic_quality,Evaluate the degree to which 'Language use' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Very poor linguistic quality,Excellent linguistic quality
165,Dance-style mastery diversity,Dance-style mastery diversity,behavioral,Evaluate the degree to which 'Dance-style mastery diversity' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Behavior absent,Behavior strongly present
166,Satya Adherence,Satya Adherence,personality,Evaluate the degree to which 'Satya Adherence' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
167,Ethnocentrism,Ethnocentrism,personality,Evaluate the degree to which 'Ethnocentrism' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
168,Emotional Boundaries,Emotional Boundaries,emotion,Evaluate the degree to which 'Emotional Boundaries' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No emotional expression detected,Dominant emotional expression throughout
169,Creativity in solutions,Creativity in solutions,personality,Evaluate the degree to which 'Creativity in solutions' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
170,Psychological construct: Hope scale,Hope scale,personality,Evaluate the degree to which 'Hope scale' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
171,565. Practice frequency: Walking meditation,Practice frequency: Walking meditation,spiritual,Evaluate the degree to which 'Practice frequency: Walking meditation' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not relevant/mentioned,Strongly relevant/mentioned
172,Depression (DEP),Depression (DEP),personality,Evaluate the degree to which 'Depression (DEP)' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
173,Understanding Mathematical Concepts,Understanding Mathematical Concepts,cognitive,Evaluate the degree to which 'Understanding Mathematical Concepts' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No cognitive engagement,Deep cognitive engagement
174,Hypomania (Ma),Hypomania (Ma),personality,Evaluate the degree to which 'Hypomania (Ma)' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
175,Goal-Directed Behavior,Goal-Directed Behavior,behavioral,Evaluate the degree to which 'Goal-Directed Behavior' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Behavior absent,Behavior strongly present
176,Depth of Emotional Connections,Depth of Emotional Connections,emotion,Evaluate the degree to which 'Depth of Emotional Connections' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No emotional expression detected,Dominant emotional expression throughout
177,Binding foundations index,Binding foundations index,personality,Evaluate the degree to which 'Binding foundations index' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
178,Ego Dissolution Frequency,Ego Dissolution Frequency,self_and_identity,Evaluate the degree to which 'Ego Dissolution Frequency' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not exhibited,Strongly exhibited
179,Activator: Turning thoughts into action,Activator: Turning thoughts into action,motivation,Evaluate the degree to which 'Activator: Turning thoughts into action' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No motivational signals,Strong motivational signals
180,967. Gnostic spiritual metric: Archon meditation frequency,Gnostic spiritual metric: Archon meditation frequency,spiritual,Evaluate the degree to which 'Gnostic spiritual metric: Archon meditation frequency' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not relevant/mentioned,Strongly relevant/mentioned
181,Exemplariness,Exemplariness,self_and_identity,Evaluate the degree to which 'Exemplariness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not exhibited,Strongly exhibited
182,Moral and Ethical Parameters:,Moral and Ethical Parameters,personality,Evaluate the degree to which 'Moral and Ethical Parameters' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
183,Submission:,Submission,personality,Evaluate the degree to which 'Submission' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
184,Frankness,Frankness,personality,Evaluate the degree to which 'Frankness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
185,Psychological construct: Psychological Safety climate,Psychological Safety climate,safety,Evaluate the degree to which 'Psychological Safety climate' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No safety concerns,Severe safety concerns present
186,Psychological construct: Self-Compassion total,Self-Compassion total,personality,Evaluate the degree to which 'Self-Compassion total' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
187,Psychological construct: Executive-Function composite,Executive-Function composite,personality,Evaluate the degree to which 'Executive-Function composite' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
188,Rebelliousness,Rebelliousness,safety,Evaluate the degree to which 'Rebelliousness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No safety concerns,Severe safety concerns present
189,Volunteer Work,Volunteer Work,social,Evaluate the degree to which 'Volunteer Work' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No social engagement,Highly collaborative/social
190,Intellect,Intellect,personality,Evaluate the degree to which 'Intellect' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
191,Use of Mathematical Formulas,Use of Mathematical Formulas,cognitive,Evaluate the degree to which 'Use of Mathematical Formulas' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No cognitive engagement,Deep cognitive engagement
192,Coarseness,Coarseness,safety,Evaluate the degree to which 'Coarseness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No safety concerns,Severe safety concerns present
193,Sensitivity,Sensitivity,personality,Evaluate the degree to which 'Sensitivity' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
194,Divided Attention Ability,Divided Attention Ability,cognitive,Evaluate the degree to which 'Divided Attention Ability' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No cognitive engagement,Deep cognitive engagement
195,Psychological construct: Acculturative Stress score,Acculturative Stress score,personality,Evaluate the degree to which 'Acculturative Stress score' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
196,Dauntlessness,Dauntlessness,personality,Evaluate the degree to which 'Dauntlessness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
197,Concreteness,Concreteness,linguistic_quality,Evaluate the degree to which 'Concreteness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Very poor linguistic quality,Excellent linguistic quality
198,Hysteria (Hy),Hysteria (Hy),personality,Evaluate the degree to which 'Hysteria (Hy)' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
199,911. Jewish spiritual metric: Sukkot lulav-shaking days,Jewish spiritual metric: Sukkot lulav-shaking days,spiritual,Evaluate the degree to which 'Jewish spiritual metric: Sukkot lulav-shaking days' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not relevant/mentioned,Strongly relevant/mentioned
200,Sentence Structure,Sentence Structure,linguistic_quality,Evaluate the degree to which 'Sentence Structure' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Very poor linguistic quality,Excellent linguistic quality
201,Esteem Needs,Esteem Needs,personality,Evaluate the degree to which 'Esteem Needs' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
202,Understanding mechanical concepts,Understanding mechanical concepts,personality,Evaluate the degree to which 'Understanding mechanical concepts' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
203,Auditory Memory Recall,Auditory Memory Recall,cognitive,Evaluate the degree to which 'Auditory Memory Recall' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No cognitive engagement,Deep cognitive engagement
204,Storytelling proficiency,Storytelling proficiency,linguistic_quality,Evaluate the degree to which 'Storytelling proficiency' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Very poor linguistic quality,Excellent linguistic quality
205,Music-lessons years,Music-lessons years,behavioral,Evaluate the degree to which 'Music-lessons years' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Behavior absent,Behavior strongly present
206,Warmheartedness,Warmheartedness,emotion,Evaluate the degree to which 'Warmheartedness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No emotional expression detected,Dominant emotional expression throughout
207,Self-effacement,Self-effacement,self_and_identity,Evaluate the degree to which 'Self-effacement' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not exhibited,Strongly exhibited
208,Outspokenness,Outspokenness,personality,Evaluate the degree to which 'Outspokenness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
209,Sleep-environment temperature,Sleep-environment temperature,behavioral,Evaluate the degree to which 'Sleep-environment temperature' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Behavior absent,Behavior strongly present
210,Comprehension of spoken information,Comprehension of spoken information,linguistic_quality,Evaluate the degree to which 'Comprehension of spoken information' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Very poor linguistic quality,Excellent linguistic quality
211,Blissfulness,Blissfulness,emotion,Evaluate the degree to which 'Blissfulness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No emotional expression detected,Dominant emotional expression throughout
212,Sequential Memory Recall,Sequential Memory Recall,cognitive,Evaluate the degree to which 'Sequential Memory Recall' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No cognitive engagement,Deep cognitive engagement
213,Withdrawnness,Withdrawnness,personality,Evaluate the degree to which 'Withdrawnness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
214,892. Hindu spiritual metric: Yoga discipline hours / week,Hindu spiritual metric: Yoga discipline hours / week,spiritual,Evaluate the degree to which 'Hindu spiritual metric: Yoga discipline hours / week' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not relevant/mentioned,Strongly relevant/mentioned
215,Conservatism,Conservatism,personality,Evaluate the degree to which 'Conservatism' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
216,898. Hindu spiritual metric: Vrata vows observed / year,Hindu spiritual metric: Vrata vows observed / year,spiritual,Evaluate the degree to which 'Hindu spiritual metric: Vrata vows observed / year' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not relevant/mentioned,Strongly relevant/mentioned
217,Ardency,Ardency,emotion,Evaluate the degree to which 'Ardency' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No emotional expression detected,Dominant emotional expression throughout
218,Aesthetic Appreciation,Aesthetic Appreciation,personality,Evaluate the degree to which 'Aesthetic Appreciation' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
219,Transactional Leadership:,Transactional Leadership,social,Evaluate the degree to which 'Transactional Leadership' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No social engagement,Highly collaborative/social
220,Value orientation: Universalism,Universalism,personality,Evaluate the degree to which 'Universalism' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
221,Regularity of Self-Reflection,Regularity of Self-Reflection,personality,Evaluate the degree to which 'Regularity of Self-Reflection' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
222,Controlling Reactions,Controlling Reactions,personality,Evaluate the degree to which 'Controlling Reactions' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
223,Psychological construct: Cultural Intelligence – Behavioral,Cultural Intelligence – Behavioral,cognitive,Evaluate the degree to which 'Cultural Intelligence – Behavioral' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No cognitive engagement,Deep cognitive engagement
224,Metabolic Rate (Low or High),Metabolic Rate (Low or High),health,Evaluate the degree to which 'Metabolic Rate (Low or High)' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not relevant/mentioned,Strongly relevant/mentioned
225,Dietary Habits,Dietary Habits,behavioral,Evaluate the degree to which 'Dietary Habits' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Behavior absent,Behavior strongly present
226,Significance: Desire to make an impact,Significance: Desire to make an impact,motivation,Evaluate the degree to which 'Significance: Desire to make an impact' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No motivational signals,Strong motivational signals
227,Psychological construct: Resilience-Trait score,Resilience-Trait score,personality,Evaluate the degree to which 'Resilience-Trait score' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
228,Boredom Susceptibility,Boredom Susceptibility,personality,Evaluate the degree to which 'Boredom Susceptibility' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
229,Psychological construct: Consummatory Pleasure scale,Consummatory Pleasure scale,personality,Evaluate the degree to which 'Consummatory Pleasure scale' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
230,Leadership Styles and Behaviors:,Leadership Styles and Behaviors,social,Evaluate the degree to which 'Leadership Styles and Behaviors' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No social engagement,Highly collaborative/social
231,723. I Ching hexagram 5 resonance level,I Ching hexagram 5 resonance level,spiritual,Evaluate the degree to which 'I Ching hexagram 5 resonance level' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not relevant/mentioned,Strongly relevant/mentioned
232,Macronutrient ratio: carbs,Macronutrient ratio: carbs,health,Evaluate the degree to which 'Macronutrient ratio: carbs' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not relevant/mentioned,Strongly relevant/mentioned
233,Passport-stamps count,Passport-stamps count,behavioral,Evaluate the degree to which 'Passport-stamps count' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Behavior absent,Behavior strongly present
234,Local-food sourcing %,Local-food sourcing %,personality,Evaluate the degree to which 'Local-food sourcing %' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
235,Patient care orientation,Patient care orientation,professional,Evaluate the degree to which 'Patient care orientation' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not exhibited,Strongly exhibited
236,Soft-skill training hours,Soft-skill training hours,professional,Evaluate the degree to which 'Soft-skill training hours' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not exhibited,Strongly exhibited
237,Graffiti appreciation,Graffiti appreciation,behavioral,Evaluate the degree to which 'Graffiti appreciation' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Behavior absent,Behavior strongly present
238,Preference for Home-Cooked vs Restaurant Meals,Preference for Home-Cooked vs Restaurant Meals,spiritual,Evaluate the degree to which 'Preference for Home-Cooked vs Restaurant Meals' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not relevant/mentioned,Strongly relevant/mentioned
239,Immune-response age,Immune-response age,health,Evaluate the degree to which 'Immune-response age' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not relevant/mentioned,Strongly relevant/mentioned
240,Social-cognition variable: Cognitive Empathy,Cognitive Empathy,cognitive,Evaluate the degree to which 'Cognitive Empathy' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No cognitive engagement,Deep cognitive engagement
241,Kink-interest diversity,Kink-interest diversity,personality,Evaluate the degree to which 'Kink-interest diversity' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
242,Adaptability and Flexibility:,Adaptability and Flexibility,personality,Evaluate the degree to which 'Adaptability and Flexibility' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
243,Judging Consequences,Judging Consequences,cognitive,Evaluate the degree to which 'Judging Consequences' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No cognitive engagement,Deep cognitive engagement
244,Harmfulness,Harmfulness,safety,Evaluate the degree to which 'Harmfulness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No safety concerns,Severe safety concerns present
245,Affinity,Affinity,personality,Evaluate the degree to which 'Affinity' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
246,Abasement,Abasement,personality,Evaluate the degree to which 'Abasement' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
247,Chronic pain presence,Chronic pain presence,health,Evaluate the degree to which 'Chronic pain presence' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not relevant/mentioned,Strongly relevant/mentioned
248,520. Discernment practice hours / week,Discernment practice hours / week,personality,Evaluate the degree to which 'Discernment practice hours / week' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
249,Initiative,Initiative,professional,Evaluate the degree to which 'Initiative' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not exhibited,Strongly exhibited
250,Courageousness,Courageousness,personality,Evaluate the degree to which 'Courageousness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
251,Joyfulness,Joyfulness,emotion,Evaluate the degree to which 'Joyfulness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No emotional expression detected,Dominant emotional expression throughout
252,Suspicion,Suspicion,personality,Evaluate the degree to which 'Suspicion' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
253,Basophil count,Basophil count,health,Evaluate the degree to which 'Basophil count' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not relevant/mentioned,Strongly relevant/mentioned
254,Attachment avoidance score,Attachment avoidance score,behavioral,Evaluate the degree to which 'Attachment avoidance score' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Behavior absent,Behavior strongly present
255,Brazenness,Brazenness,safety,Evaluate the degree to which 'Brazenness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No safety concerns,Severe safety concerns present
256,Talkativeness,Talkativeness,personality,Evaluate the degree to which 'Talkativeness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
257,Equitableness,Equitableness,personality,Evaluate the degree to which 'Equitableness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
258,Ideas generated/day,Ideas generated/day,personality,Evaluate the degree to which 'Ideas generated/day' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
259,Originality,Originality,personality,Evaluate the degree to which 'Originality' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
260,Fearfulness: Fear of physical dangers,Fearfulness: Fear of physical dangers,emotion,Evaluate the degree to which 'Fearfulness: Fear of physical dangers' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No emotional expression detected,Dominant emotional expression throughout
261,Dance rehearsal hours/week,Dance rehearsal hours/week,behavioral,Evaluate the degree to which 'Dance rehearsal hours/week' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Behavior absent,Behavior strongly present
262,561. Practice frequency: Mantra meditation,Practice frequency: Mantra meditation,spiritual,Evaluate the degree to which 'Practice frequency: Mantra meditation' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not relevant/mentioned,Strongly relevant/mentioned
263,Public-transport km/week,Public-transport km/week,personality,Evaluate the degree to which 'Public-transport km/week' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
264,Social Desirability Bias,Social Desirability Bias,social,Evaluate the degree to which 'Social Desirability Bias' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No social engagement,Highly collaborative/social
265,761. I Ching hexagram 43 resonance level,I Ching hexagram 43 resonance level,spiritual,Evaluate the degree to which 'I Ching hexagram 43 resonance level' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not relevant/mentioned,Strongly relevant/mentioned
266,Disagreeableness,Disagreeableness,personality,Evaluate the degree to which 'Disagreeableness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
267,Participation in Community Activities,Participation in Community Activities,social,Evaluate the degree to which 'Participation in Community Activities' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No social engagement,Highly collaborative/social
268,Impudence,Impudence,safety,Evaluate the degree to which 'Impudence' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No safety concerns,Severe safety concerns present
269,Analogies,Analogies,linguistic_quality,Evaluate the degree to which 'Analogies' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Very poor linguistic quality,Excellent linguistic quality
270,Clumsiness,Clumsiness,personality,Evaluate the degree to which 'Clumsiness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
271,Tendency Toward Compromise or Confrontation,Tendency Toward Compromise or Confrontation,personality,Evaluate the degree to which 'Tendency Toward Compromise or Confrontation' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
272,737. I Ching hexagram 19 resonance level,I Ching hexagram 19 resonance level,spiritual,Evaluate the degree to which 'I Ching hexagram 19 resonance level' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not relevant/mentioned,Strongly relevant/mentioned
273,Robotics-interaction frequency,Robotics-interaction frequency,behavioral,Evaluate the degree to which 'Robotics-interaction frequency' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Behavior absent,Behavior strongly present
274,Casual lifestyle,Casual lifestyle,behavioral,Evaluate the degree to which 'Casual lifestyle' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Behavior absent,Behavior strongly present
275,Collectedness,Collectedness,personality,Evaluate the degree to which 'Collectedness' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
276,Reliance on context,Reliance on context,linguistic_quality,Evaluate the degree to which 'Reliance on context' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Very poor linguistic quality,Excellent linguistic quality
277,Delegation skills,Delegation skills,social,Evaluate the degree to which 'Delegation skills' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No social engagement,Highly collaborative/social
278,767. I Ching hexagram 49 resonance level,I Ching hexagram 49 resonance level,spiritual,Evaluate the degree to which 'I Ching hexagram 49 resonance level' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not relevant/mentioned,Strongly relevant/mentioned
279,Managing emotions,Managing emotions,emotion,Evaluate the degree to which 'Managing emotions' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,No emotional expression detected,Dominant emotional expression throughout
280,Scripture memorization verses,Scripture memorization verses,spiritual,Evaluate the degree to which 'Scripture memorization verses' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not relevant/mentioned,Strongly relevant/mentioned
281,Conventional,Conventional,personality,Evaluate the degree to which 'Conventional' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Trait not exhibited,Trait strongly exhibited
282,890. Hindu spiritual metric: Bhagavad-Gita study hours,Hindu spiritual metric: Bhagavad-Gita study hours,spiritual,Evaluate the degree to which 'Hindu spiritual metric: Bhagavad-Gita study hours' is expressed or relevant in this conversation turn. Consider both explicit statements and implicit signals.,Not relevant/mentioned,Strongly relevant/mentioned
